"","year","count"
"1","Sophomore",2369
"2","Freshman",2272
"3","Junior",1956
"4","Senior",1526
"5","Graduate Student",502
"6","Fr.",349
"7","So.",343
"8","Jr.",279
"9","Sr.",250
"10","",182
"11","Redshirt Freshman",159
"12","Redshirt Junior",142
"13","First Year",135
"14","Redshirt Sophomore",127
"15","Redshirt Senior",100
"16","Fifth Year",87
"17","First-Year",68
"18","Fr",54
"19","So",52
"20","Fy.",48
"21","Jr",38
"22","Gr.",37
"23","Sr",32
"24","FY",30
"25","First-year",9
"26","JR",9
"27","Fr.-HS",7
"28","R-Sr.",7
"29","So.-1L",7
"30","Fy",6
"31","Gr",6
"32","R-Fr.",6
"33","R-Jr.",6
"34","R-So.",6
"35","SO",6
"36","SR",6
"37","1V",5
"38","F",5
"39","Graduate",5
"40","2023",4
"41","2024",4
"42","2026",4
"43","First-Year Student",4
"44","Senior*",4
"45","2025",3
"46","5-7",3
"47","GR",3
"48","HS",3
"49","2V",2
"50","3V",2
"51","5-4",2
"52","5th Year",2
"53","5th Yr.",2
"54","6-2",2
"55","FR",2
"56","Grad.",2
"57","R-Junior",2
"58","Redshirt",2
"59","RFr.",2
"60","RS So.",2
"61","Sixth Year",2
"62","Sophmore",2
"63","Sr.-2L",2
"64","Sr.-3L",2
"65","TR",2
"66"," ",1
"67","5-10",1
"68","5-11",1
"69","5-3",1
"70","5-6",1
"71","Fr. - RS",1
"72","Fr.-RS",1
"73","Jr.-1L",1
"74","Jr.-Tr.",1
"75","Redshirt Fifth Year",1
"76","Redshirt First Year",1
"77","Redshirt-Freshman",1
"78","Redshirt-Junior",1
"79","rFR",1
"80","RS Sr.",1
"81","RS-Freshman",1
"82","Sr.-1L",1
"83","Sr.-Tr.",1
"84","Team Impact",1
