"","TeamFull","games","wins","points_per_60min","total_shot_attempts_per_60","shooting_perc","three_rate","free_throw_rate","three_point_perc","assist_perc"
"1","Mississippi State Bulldogs",26,14,106.384615384615,84.6346153846154,0.453306066802999,0.354464894342195,0.325835037491479,0.344230769230769,0.500751879699248
"2","Georgia Bulldogs",22,12,101.454545454545,84.75,0.419951729686243,0.327433628318584,0.353982300884956,0.319410319410319,0.505747126436782
"3","Tennessee Volunteers",21,12,106.5,85.8571428571429,0.413477537437604,0.325291181364393,0.413477537437604,0.345268542199488,0.501006036217304
"4","Utah Utes",16,11,111.9375,80.71875,0.481997677119628,0.408826945412311,0.348432055749129,0.389204545454545,0.590361445783133
"5","Texas A&M Aggies",15,10,101.8,83.7,0.436081242532855,0.32258064516129,0.376344086021505,0.325925925925926,0.578082191780822
"6","California Golden Bears",22,9,100.772727272727,84.2727272727273,0.438511326860841,0.3042071197411,0.335760517799353,0.324468085106383,0.472324723247232
"7","LSU Fighting Tigers",18,9,118.25,90.3333333333333,0.47140221402214,0.345018450184502,0.347785977859779,0.377005347593583,0.506849315068493
"8","NC State Wolfpack",16,9,117,92.71875,0.462082912032356,0.315470171890799,0.322548028311426,0.368589743589744,0.437636761487965
"9","Oklahoma State Cowboys",16,9,110.15625,83.34375,0.458942632170979,0.408323959505062,0.327334083239595,0.377410468319559,0.534313725490196
"10","Notre Dame Fighting Irish",10,7,116.1,95.25,0.440944881889764,0.428346456692913,0.248818897637795,0.352941176470588,0.517857142857143
"11","Syracuse Orange",13,7,106.730769230769,85.1538461538461,0.432249322493225,0.345528455284553,0.37940379403794,0.333333333333333,0.561128526645768
"12","Florida State Seminoles",13,6,97.5,83.0769230769231,0.419444444444444,0.295833333333333,0.383333333333333,0.253521126760563,0.486754966887417
"13","Vanderbilt Commodores",15,6,97.1,80.9,0.404202719406675,0.411619283065513,0.386897404202719,0.303303303303303,0.541284403669725
"14","Baylor Bears",7,5,109.714285714286,88.5,0.443099273607748,0.309927360774818,0.358353510895884,0.34375,0.502732240437158
"15","UCLA Bruins",8,4,109.6875,95.0625,0.439842209072978,0.287968441814596,0.26232741617357,0.342465753424658,0.520179372197309
"16","Wisconsin Badgers",7,4,106.714285714286,81.8571428571429,0.465968586387435,0.31413612565445,0.345549738219895,0.4,0.544943820224719
"17","Maryland Terrapins",6,3,112.5,80.75,0.501547987616099,0.362229102167183,0.362229102167183,0.401709401709402,0.617283950617284
"18","West Virginia Mountaineers",2,2,124.5,83.25,0.45045045045045,0.45045045045045,0.513513513513513,0.4,0.6
"19","Arizona Wildcats",3,1,98,78.5,0.426751592356688,0.477707006369427,0.32484076433121,0.333333333333333,0.552238805970149
"20","Alabama Crimson Tide",23,NA,102.195652173913,80.9347826086957,0.439161966156326,0.377921031426269,0.394842868654311,0.326226012793177,0.442201834862385
"21","Arizona State Sun Devils",19,NA,104.526315789474,88.0263157894737,0.403587443946188,0.412556053811659,0.347085201793722,0.339130434782609,0.54
"22","Arkansas Razorbacks",9,NA,110.833333333333,90.5,0.423572744014733,0.320441988950276,0.34622467771639,0.419540229885057,0.673913043478261
"23","Auburn Tigers",20,NA,102.45,88.125,0.388936170212766,0.379574468085106,0.408510638297872,0.338565022421525,0.459518599562363
"24","Boston College Eagles",30,NA,102.85,87.05,0.435956346927053,0.353819643882826,0.286042504307869,0.336038961038961,0.507246376811594
"25","Clemson Tigers",23,NA,105.195652173913,82.7608695652174,0.438140267927502,0.371946414499606,0.368794326241135,0.338983050847458,0.494604316546763
"26","Colorado Buffaloes",23,NA,109.695652173913,86.0869565217391,0.429545454545455,0.35,0.428787878787879,0.337662337662338,0.541446208112875
"27","Florida Gators",13,NA,104.192307692308,89.4230769230769,0.415483870967742,0.35741935483871,0.36258064516129,0.317689530685921,0.531055900621118
"28","Georgia Tech Yellow Jackets",29,NA,101.896551724138,87.5689655172414,0.416420555227407,0.282929710572947,0.353219137625517,0.311064718162839,0.534751773049645
"29","Illinois Fighting Illini",28,NA,107.892857142857,89.4107142857143,0.427801078490114,0.356500898741762,0.314559616536848,0.349579831932773,0.525210084033613
"30","Indiana Hoosiers",16,NA,107.625,87.28125,0.450053705692803,0.361976369495166,0.316863587540279,0.344213649851632,0.563245823389022
"31","Iowa Hawkeyes",13,NA,116.769230769231,89.3076923076923,0.454780361757106,0.369509043927649,0.359173126614987,0.402097902097902,0.630681818181818
"32","Iowa State Cyclones",6,NA,114,93.75,0.437333333333333,0.357333333333333,0.304,0.350746268656716,0.5
"33","Kansas State Wildcats",13,NA,99.4615384615385,80.0769230769231,0.420749279538905,0.279538904899135,0.452449567723343,0.288659793814433,0.527397260273973
"34","Louisville Cardinals",13,NA,110.538461538462,88.7307692307692,0.462938881664499,0.315994798439532,0.283485045513654,0.395061728395062,0.463483146067416
"35","Miami (FL) Hurricanes",9,NA,106.166666666667,83.3333333333333,0.428,0.4,0.37,0.33,0.518691588785047
"36","Michigan Wolverines",7,NA,98.3571428571429,87.6428571428571,0.437652811735941,0.383863080684597,0.200488997555012,0.331210191082803,0.541899441340782
"37","Minnesota Golden Gophers",19,NA,113.289473684211,91.2631578947368,0.447231833910035,0.318339100346021,0.352941176470588,0.339673913043478,0.55705996131528
"38","Missouri Tigers",21,NA,103.285714285714,82.8571428571429,0.421551724137931,0.373275862068966,0.397413793103448,0.321016166281755,0.511247443762781
"39","Nebraska Cornhuskers",27,NA,104.555555555556,85.6111111111111,0.432186891628812,0.340687865022713,0.350421804023361,0.304761904761905,0.447447447447447
"40","Northwestern Wildcats",21,NA,105.857142857143,83.4285714285714,0.458904109589041,0.39554794520548,0.297945205479452,0.365800865800866,0.602611940298508
"41","Ohio State Buckeyes",13,NA,109.384615384615,83.8846153846154,0.458046767537827,0.350756533700138,0.407152682255846,0.333333333333333,0.438438438438438
"42","Oklahoma Sooners",6,NA,108.5,90.75,0.410468319559229,0.31129476584022,0.338842975206612,0.380530973451327,0.48993288590604
"43","Ole Miss Rebels",22,NA,113.113636363636,90.6136363636364,0.422874341610233,0.391271632806622,0.383747178329571,0.336538461538462,0.54626334519573
"44","Oregon Ducks",7,NA,114.214285714286,90.4285714285714,0.450236966824645,0.431279620853081,0.270142180094787,0.357142857142857,0.594736842105263
"45","Oregon State Beavers",22,NA,96.0681818181818,79.8409090909091,0.425277540563621,0.332194705380017,0.372331340734415,0.305912596401028,0.56425702811245
"46","Penn State Nittany Lions",29,NA,100.758620689655,86.7413793103448,0.415026833631485,0.368515205724508,0.31902206320811,0.313915857605178,0.46264367816092
"47","Pitt Panthers",23,NA,100.434782608696,81.3913043478261,0.428685897435897,0.372596153846154,0.333333333333333,0.352688172043011,0.609345794392523
"48","Rutgers Scarlet Knights",29,NA,94.7068965517241,87.3620689655172,0.41563055062167,0.254588513913558,0.274718768502072,0.302325581395349,0.44017094017094
"49","South Carolina Gamecocks",22,NA,111.75,88.2954545454545,0.434749034749035,0.317374517374517,0.406177606177606,0.343065693430657,0.543516873889876
"50","Stanford Cardinal",28,NA,107.303571428571,87,0.427339901477833,0.315886699507389,0.395935960591133,0.323586744639376,0.507204610951009
"51","TCU Horned Frogs",22,NA,104.113636363636,80.25,0.433305012744265,0.323704333050127,0.481733220050977,0.325459317585302,0.582352941176471
"52","Texas Longhorns",10,NA,103.65,91.35,0.423645320197044,0.35303776683087,0.293924466338259,0.269767441860465,0.457364341085271
"53","Texas Tech Red Raiders",12,NA,107.875,75.375,0.466003316749585,0.326699834162521,0.51575456053068,0.365482233502538,0.512455516014235
"54","USC Trojans",17,NA,114.264705882353,90.2647058823529,0.463343108504399,0.319648093841642,0.333333333333333,0.370030581039755,0.578059071729958
"55","Virginia Tech Hokies",13,NA,104.884615384615,79.8461538461539,0.458092485549133,0.341040462427746,0.388728323699422,0.398305084745763,0.485804416403785
"56","Wake Forest Demon Deacons",21,NA,104.5,86.1428571428571,0.427031509121061,0.334162520729685,0.379767827529022,0.325062034739454,0.588349514563107
"57","Washington Huskies",26,NA,113.942307692308,89.6538461538461,0.446589446589447,0.345559845559846,0.371943371943372,0.342644320297952,0.511527377521614
"58","Washington State Cougars",27,NA,107.833333333333,85.8888888888889,0.457956015523933,0.386804657179819,0.270375161707633,0.374581939799331,0.548022598870056
