"","name","points_per_60min","total_shot_attempts_per_60","shooting_perc","three_rate","free_throw_rate","three_point_perc","assist_perc"
"1","CBB",106.952097223604,85.8226440441835,0.43731373526079,0.362353020978182,0.352912708744779,0.344993556097947,0.523757583952942
"2","NBA",129.225968867261,105.77392120075,0.455042875038801,0.296508816127888,0.270597409760099,0.356699120555311,0.584476975151771
"3","Non-Power Five",106.973194929736,85.8186385778775,0.437358519499902,0.362730815489368,0.352895496785456,0.345109273399181,0.523775839592458
"4","Power Five",106.113981762918,85.9817629179331,0.435538037330317,0.347373444570136,0.353595164027149,0.340202513611154,0.523030721155797
"5","ACC",106.918867924528,85.327358490566,0.442784171946002,0.342896945172311,0.355550764536137,0.344505707100019,0.536349676017828
"6","SEC",107.477364591754,85.6831042845594,0.432819133880555,0.358859326351543,0.386102462496462,0.335923019284616,0.521923944675146
"7","Big 12",106.052192066806,84.964509394572,0.438264779596049,0.331416777237211,0.376271561256081,0.338634341637011,0.541586073500967
"8","Big Ten",106.160893345488,86.5624430264357,0.436767447003444,0.346333680851736,0.332053833759833,0.345724059293044,0.523110307414105
"9","PAC-12",109.013698630137,86.4520547945205,0.445222627158929,0.346949770242434,0.356171763587387,0.348785166240409,0.521638550786533
